"row.names" "Original.Reads" "Filtered.Reads" "Denoised.Reads" "tabled" "Non.chimeric.Reads" "forward.trim"
"195" "Ines-Groeningen-F6-3" 78710 78696 78435 78435 70712 "60"
"196" "Ines-Groeningen-C3-1" 160428 160403 159646 159646 126468 "70"
"197" "Ines-Groeningen-C3-3" 76905 76893 76449 76449 63068 "70"
"198" "Ines-Groeningen-E3-1" 77315 77301 76887 76887 63283 "70"
"199" "Ines-Groeningen-E3-4" 84827 84804 84482 84482 52831 "70"
"200" "Ines-Groeningen-E5-1" 196518 196499 195947 195947 171269 "70"
"201" "Ines-Groeningen-E5-3" 51315 51308 51110 51110 46786 "70"
"202" "Ines-Groeningen-E6-3" 74564 74554 74200 74200 62844 "70"
"203" "Ines-Groeningen-E6-5" 101969 101958 101642 101642 65380 "70"
"204" "Ines-Groeningen-F3-4" 60874 60858 60551 60551 39426 "70"
"205" "Ines-Groeningen-F5-1" 51092 51085 50793 50793 47866 "70"
"206" "Ines-Groeningen-F5-3" 158699 158674 158008 158008 141578 "70"
"207" "Ines-Groeningen-F5-5" 85108 85100 84856 84856 71470 "70"
"208" "Ines-Groeningen-F6-1" 56042 56031 55857 55857 38143 "70"
"209" "Ines-Groeningen-F6-2" 47591 47584 47469 47469 37715 "70"
"210" "Ines-Groeningen-F6-3" 78710 78696 78292 78292 68135 "70"
"211" "Ines-Groeningen-C3-1" 160428 160396 158543 158543 125699 "80"
"212" "Ines-Groeningen-C3-3" 76905 76888 75956 75956 63583 "80"
"213" "Ines-Groeningen-E3-1" 77315 77295 76502 76502 64103 "80"
"214" "Ines-Groeningen-E3-4" 84827 84799 84257 84257 52702 "80"
"215" "Ines-Groeningen-E5-1" 196518 196493 194995 194995 161479 "80"
"216" "Ines-Groeningen-E5-3" 51315 51305 50832 50832 46024 "80"
"217" "Ines-Groeningen-E6-3" 74564 74551 73705 73705 62887 "80"
"218" "Ines-Groeningen-E6-5" 101969 101951 101288 101288 69731 "80"
"219" "Ines-Groeningen-F3-4" 60874 60852 60599 60599 38461 "80"
"220" "Ines-Groeningen-F5-1" 51092 51084 50666 50666 46726 "80"
"221" "Ines-Groeningen-F5-3" 158699 158669 157268 157268 137098 "80"
"222" "Ines-Groeningen-F5-5" 85108 85095 84817 84817 73759 "80"
"223" "Ines-Groeningen-F6-1" 56042 56026 55783 55783 33575 "80"
"224" "Ines-Groeningen-F6-2" 47591 47580 47437 47437 41431 "80"
"225" "Ines-Groeningen-F6-3" 78710 78692 77900 77900 67218 "80"
"226" "Ines-Groeningen-C3-1" 160428 160375 158268 158268 143856 "90"
"227" "Ines-Groeningen-C3-3" 76905 76871 75904 75904 72105 "90"
"228" "Ines-Groeningen-E3-1" 77315 77283 76061 76061 71986 "90"
"229" "Ines-Groeningen-E3-4" 84827 84772 83946 83946 55543 "90"
"230" "Ines-Groeningen-E5-1" 196518 196469 194684 194684 174809 "90"
"231" "Ines-Groeningen-E5-3" 51315 51299 50493 50493 47904 "90"
"232" "Ines-Groeningen-E6-3" 74564 74538 73358 73358 69936 "90"
"233" "Ines-Groeningen-E6-5" 101969 101926 100699 100699 78322 "90"
"234" "Ines-Groeningen-F3-4" 60874 60828 60215 60215 41528 "90"
"235" "Ines-Groeningen-F5-1" 51092 51081 50642 50642 47576 "90"
"236" "Ines-Groeningen-F5-3" 158699 158647 157496 157496 145585 "90"
"237" "Ines-Groeningen-F5-5" 85108 85081 84367 84367 74796 "90"
"238" "Ines-Groeningen-F6-1" 56042 56011 55496 55496 36759 "90"
"239" "Ines-Groeningen-F6-2" 47591 47564 47335 47335 39365 "90"
"240" "Ines-Groeningen-F6-3" 78710 78682 77884 77884 72078 "90"
