"row.names" "Original.Reads" "Filtered.Reads" "Denoised.Reads" "tabled" "forward.trim"
"145" "DRR070556.fastq.gz" 35693 35212 34237 34237 "190"
"146" "DRR070577.fastq.gz" 43681 43195 42558 42558 "190"
"147" "DRR070578.fastq.gz" 44605 44085 43354 43354 "190"
"148" "DRR070579.fastq.gz" 31237 30911 30315 30315 "190"
"149" "DRR070580.fastq.gz" 74736 71899 70919 70919 "190"
"150" "DRR070581.fastq.gz" 73470 70329 69399 69399 "190"
"151" "DRR070527.fastq.gz" 70166 66666 64999 64999 "200"
"152" "DRR070528.fastq.gz" 73058 69727 67968 67968 "200"
"153" "DRR070529.fastq.gz" 34232 33811 32739 32739 "200"
"154" "DRR070530.fastq.gz" 30997 30550 29547 29547 "200"
"155" "DRR070531.fastq.gz" 31273 30792 29796 29796 "200"
"156" "DRR070552.fastq.gz" 68057 64702 63253 63253 "200"
"157" "DRR070553.fastq.gz" 33466 33090 32437 32437 "200"
"158" "DRR070554.fastq.gz" 31718 31289 30353 30353 "200"
"159" "DRR070555.fastq.gz" 34193 33728 32768 32768 "200"
"160" "DRR070556.fastq.gz" 35693 35203 34267 34267 "200"
"161" "DRR070577.fastq.gz" 43681 43180 42494 42494 "200"
"162" "DRR070578.fastq.gz" 44605 44076 43337 43337 "200"
"163" "DRR070579.fastq.gz" 31237 30903 30260 30260 "200"
"164" "DRR070580.fastq.gz" 74736 71830 70864 70864 "200"
"165" "DRR070581.fastq.gz" 73470 70284 69382 69382 "200"
"166" "DRR070527.fastq.gz" 70166 68342 68116 68116 "50"
"167" "DRR070528.fastq.gz" 73058 71380 71105 71105 "50"
"168" "DRR070529.fastq.gz" 34232 34113 33999 33999 "50"
"169" "DRR070530.fastq.gz" 30997 30844 30763 30763 "50"
"170" "DRR070531.fastq.gz" 31273 31067 30922 30922 "50"
"171" "DRR070552.fastq.gz" 68057 66199 66019 66019 "50"
"172" "DRR070553.fastq.gz" 33466 33333 33287 33287 "50"
"173" "DRR070554.fastq.gz" 31718 31552 31392 31392 "50"
"174" "DRR070555.fastq.gz" 34193 33969 33785 33785 "50"
"175" "DRR070556.fastq.gz" 35693 35487 35372 35372 "50"
"176" "DRR070577.fastq.gz" 43681 43496 43410 43410 "50"
"177" "DRR070578.fastq.gz" 44605 44423 44343 44343 "50"
"178" "DRR070579.fastq.gz" 31237 31118 31069 31069 "50"
"179" "DRR070580.fastq.gz" 74736 73320 73173 73173 "50"
"180" "DRR070581.fastq.gz" 73470 72060 71899 71899 "50"
"181" "DRR070527.fastq.gz" 70166 68201 67917 67917 "60"
"182" "DRR070528.fastq.gz" 73058 71236 70939 70939 "60"
"183" "DRR070529.fastq.gz" 34232 34090 33962 33962 "60"
"184" "DRR070530.fastq.gz" 30997 30826 30660 30660 "60"
"185" "DRR070531.fastq.gz" 31273 31046 30886 30886 "60"
"186" "DRR070552.fastq.gz" 68057 66070 65815 65815 "60"
"187" "DRR070553.fastq.gz" 33466 33307 33181 33181 "60"
"188" "DRR070554.fastq.gz" 31718 31534 31415 31415 "60"
"189" "DRR070555.fastq.gz" 34193 33951 33747 33747 "60"
"190" "DRR070556.fastq.gz" 35693 35471 35328 35328 "60"
"191" "DRR070577.fastq.gz" 43681 43463 43309 43309 "60"
"192" "DRR070578.fastq.gz" 44605 44387 44282 44282 "60"
"193" "DRR070579.fastq.gz" 31237 31098 30966 30966 "60"
"194" "DRR070580.fastq.gz" 74736 73187 73007 73007 "60"
"195" "DRR070581.fastq.gz" 73470 71917 71813 71813 "60"
"196" "DRR070527.fastq.gz" 70166 68012 67574 67574 "70"
"197" "DRR070528.fastq.gz" 73058 71049 70739 70739 "70"
"198" "DRR070529.fastq.gz" 34232 34053 33816 33816 "70"
"199" "DRR070530.fastq.gz" 30997 30780 30516 30516 "70"
"200" "DRR070531.fastq.gz" 31273 30992 30770 30770 "70"
"201" "DRR070552.fastq.gz" 68057 65934 65550 65550 "70"
"202" "DRR070553.fastq.gz" 33466 33286 33081 33081 "70"
"203" "DRR070554.fastq.gz" 31718 31493 31324 31324 "70"
"204" "DRR070555.fastq.gz" 34193 33916 33712 33712 "70"
"205" "DRR070556.fastq.gz" 35693 35445 35209 35209 "70"
"206" "DRR070577.fastq.gz" 43681 43444 43211 43211 "70"
"207" "DRR070578.fastq.gz" 44605 44360 44179 44179 "70"
"208" "DRR070579.fastq.gz" 31237 31079 30871 30871 "70"
"209" "DRR070580.fastq.gz" 74736 73062 72971 72971 "70"
"210" "DRR070581.fastq.gz" 73470 71786 71546 71546 "70"
"211" "DRR070527.fastq.gz" 70166 67797 67112 67112 "80"
"212" "DRR070528.fastq.gz" 73058 70837 70216 70216 "80"
"213" "DRR070529.fastq.gz" 34232 33998 33600 33600 "80"
"214" "DRR070530.fastq.gz" 30997 30714 30349 30349 "80"
"215" "DRR070531.fastq.gz" 31273 30940 30482 30482 "80"
"216" "DRR070552.fastq.gz" 68057 65763 65160 65160 "80"
"217" "DRR070553.fastq.gz" 33466 33253 32867 32867 "80"
"218" "DRR070554.fastq.gz" 31718 31447 31081 31081 "80"
"219" "DRR070555.fastq.gz" 34193 33887 33415 33415 "80"
"220" "DRR070556.fastq.gz" 35693 35403 34937 34937 "80"
"221" "DRR070577.fastq.gz" 43681 43394 43123 43123 "80"
"222" "DRR070578.fastq.gz" 44605 44303 44041 44041 "80"
"223" "DRR070579.fastq.gz" 31237 31049 30786 30786 "80"
"224" "DRR070580.fastq.gz" 74736 72907 72453 72453 "80"
"225" "DRR070581.fastq.gz" 73470 71593 71163 71163 "80"
"226" "DRR070527.fastq.gz" 70166 67626 66863 66863 "90"
"227" "DRR070528.fastq.gz" 73058 70688 69944 69944 "90"
"228" "DRR070529.fastq.gz" 34232 33954 33483 33483 "90"
"229" "DRR070530.fastq.gz" 30997 30684 30214 30214 "90"
"230" "DRR070531.fastq.gz" 31273 30914 30336 30336 "90"
"231" "DRR070552.fastq.gz" 68057 65591 64738 64738 "90"
"232" "DRR070553.fastq.gz" 33466 33210 32754 32754 "90"
"233" "DRR070554.fastq.gz" 31718 31415 30821 30821 "90"
"234" "DRR070555.fastq.gz" 34193 33854 33278 33278 "90"
"235" "DRR070556.fastq.gz" 35693 35356 34887 34887 "90"
"236" "DRR070577.fastq.gz" 43681 43346 42939 42939 "90"
"237" "DRR070578.fastq.gz" 44605 44251 43839 43839 "90"
"238" "DRR070579.fastq.gz" 31237 31014 30702 30702 "90"
"239" "DRR070580.fastq.gz" 74736 72745 72240 72240 "90"
"240" "DRR070581.fastq.gz" 73470 71278 70769 70769 "90"
