"row.names" "Original.Reads" "Filtered.Reads" "Denoised.Reads" "tabled" "Non.chimeric.Reads" "forward.trim"
"133" "DRR070579.fastq.gz" 31237 30920 30305 30305 29497 "180"
"134" "DRR070580.fastq.gz" 74736 71943 71144 71144 68203 "180"
"135" "DRR070581.fastq.gz" 73470 70383 69546 69546 66995 "180"
"136" "DRR070527.fastq.gz" 70166 66724 65098 65098 60229 "190"
"137" "DRR070528.fastq.gz" 73058 69783 68044 68044 62481 "190"
"138" "DRR070529.fastq.gz" 34232 33819 32692 32692 30664 "190"
"139" "DRR070530.fastq.gz" 30997 30555 29543 29543 27517 "190"
"140" "DRR070531.fastq.gz" 31273 30803 29822 29822 28572 "190"
"141" "DRR070552.fastq.gz" 68057 64757 63377 63377 58745 "190"
"142" "DRR070553.fastq.gz" 33466 33097 32436 32436 30854 "190"
"143" "DRR070554.fastq.gz" 31718 31293 30434 30434 28631 "190"
"144" "DRR070555.fastq.gz" 34193 33737 32757 32757 31474 "190"
"145" "DRR070556.fastq.gz" 35693 35212 34237 34237 32111 "190"
"146" "DRR070577.fastq.gz" 43681 43195 42558 42558 40825 "190"
"147" "DRR070578.fastq.gz" 44605 44085 43354 43354 41445 "190"
"148" "DRR070579.fastq.gz" 31237 30911 30315 30315 29473 "190"
"149" "DRR070580.fastq.gz" 74736 71899 70919 70919 67910 "190"
"150" "DRR070581.fastq.gz" 73470 70329 69399 69399 66808 "190"
"151" "DRR070527.fastq.gz" 70166 66666 64999 64999 59923 "200"
"152" "DRR070528.fastq.gz" 73058 69727 67968 67968 62251 "200"
"153" "DRR070529.fastq.gz" 34232 33811 32739 32739 30628 "200"
"154" "DRR070530.fastq.gz" 30997 30550 29547 29547 27406 "200"
"155" "DRR070531.fastq.gz" 31273 30792 29796 29796 28502 "200"
"156" "DRR070552.fastq.gz" 68057 64702 63253 63253 58621 "200"
"157" "DRR070553.fastq.gz" 33466 33090 32437 32437 30864 "200"
"158" "DRR070554.fastq.gz" 31718 31289 30353 30353 28552 "200"
"159" "DRR070555.fastq.gz" 34193 33728 32768 32768 31429 "200"
"160" "DRR070556.fastq.gz" 35693 35203 34267 34267 32136 "200"
"161" "DRR070577.fastq.gz" 43681 43180 42494 42494 40732 "200"
"162" "DRR070578.fastq.gz" 44605 44076 43337 43337 41427 "200"
"163" "DRR070579.fastq.gz" 31237 30903 30260 30260 29382 "200"
"164" "DRR070580.fastq.gz" 74736 71830 70864 70864 67764 "200"
"165" "DRR070581.fastq.gz" 73470 70284 69382 69382 66665 "200"
"166" "DRR070527.fastq.gz" 70166 68342 68116 68116 59777 "50"
"167" "DRR070528.fastq.gz" 73058 71380 71105 71105 62278 "50"
"168" "DRR070529.fastq.gz" 34232 34113 33999 33999 30125 "50"
"169" "DRR070530.fastq.gz" 30997 30844 30763 30763 27652 "50"
"170" "DRR070531.fastq.gz" 31273 31067 30922 30922 28245 "50"
"171" "DRR070552.fastq.gz" 68057 66199 66019 66019 59968 "50"
"172" "DRR070553.fastq.gz" 33466 33333 33287 33287 31160 "50"
"173" "DRR070554.fastq.gz" 31718 31552 31392 31392 28720 "50"
"174" "DRR070555.fastq.gz" 34193 33969 33785 33785 31495 "50"
"175" "DRR070556.fastq.gz" 35693 35487 35372 35372 32056 "50"
"176" "DRR070577.fastq.gz" 43681 43496 43410 43410 41624 "50"
"177" "DRR070578.fastq.gz" 44605 44423 44343 44343 41626 "50"
"178" "DRR070579.fastq.gz" 31237 31118 31069 31069 29706 "50"
"179" "DRR070580.fastq.gz" 74736 73320 73173 73173 69438 "50"
"180" "DRR070581.fastq.gz" 73470 72060 71899 71899 68493 "50"
"181" "DRR070527.fastq.gz" 70166 68201 67917 67917 59718 "60"
"182" "DRR070528.fastq.gz" 73058 71236 70939 70939 61985 "60"
"183" "DRR070529.fastq.gz" 34232 34090 33962 33962 30021 "60"
"184" "DRR070530.fastq.gz" 30997 30826 30660 30660 27446 "60"
"185" "DRR070531.fastq.gz" 31273 31046 30886 30886 28169 "60"
"186" "DRR070552.fastq.gz" 68057 66070 65815 65815 59434 "60"
"187" "DRR070553.fastq.gz" 33466 33307 33181 33181 30826 "60"
"188" "DRR070554.fastq.gz" 31718 31534 31415 31415 28346 "60"
"189" "DRR070555.fastq.gz" 34193 33951 33747 33747 31155 "60"
"190" "DRR070556.fastq.gz" 35693 35471 35328 35328 31806 "60"
"191" "DRR070577.fastq.gz" 43681 43463 43309 43309 40796 "60"
"192" "DRR070578.fastq.gz" 44605 44387 44282 44282 41101 "60"
"193" "DRR070579.fastq.gz" 31237 31098 30966 30966 29053 "60"
"194" "DRR070580.fastq.gz" 74736 73187 73007 73007 68417 "60"
"195" "DRR070581.fastq.gz" 73470 71917 71813 71813 67360 "60"
"196" "DRR070527.fastq.gz" 70166 68012 67574 67574 58096 "70"
"197" "DRR070528.fastq.gz" 73058 71049 70739 70739 59969 "70"
"198" "DRR070529.fastq.gz" 34232 34053 33816 33816 29268 "70"
"199" "DRR070530.fastq.gz" 30997 30780 30516 30516 25236 "70"
"200" "DRR070531.fastq.gz" 31273 30992 30770 30770 27715 "70"
"201" "DRR070552.fastq.gz" 68057 65934 65550 65550 57690 "70"
"202" "DRR070553.fastq.gz" 33466 33286 33081 33081 29981 "70"
"203" "DRR070554.fastq.gz" 31718 31493 31324 31324 27555 "70"
"204" "DRR070555.fastq.gz" 34193 33916 33712 33712 30766 "70"
"205" "DRR070556.fastq.gz" 35693 35445 35209 35209 31354 "70"
"206" "DRR070577.fastq.gz" 43681 43444 43211 43211 40861 "70"
"207" "DRR070578.fastq.gz" 44605 44360 44179 44179 40537 "70"
"208" "DRR070579.fastq.gz" 31237 31079 30871 30871 29079 "70"
"209" "DRR070580.fastq.gz" 74736 73062 72971 72971 68068 "70"
"210" "DRR070581.fastq.gz" 73470 71786 71546 71546 67276 "70"
"211" "DRR070527.fastq.gz" 70166 67797 67112 67112 53647 "80"
"212" "DRR070528.fastq.gz" 73058 70837 70216 70216 55189 "80"
"213" "DRR070529.fastq.gz" 34232 33998 33600 33600 27545 "80"
"214" "DRR070530.fastq.gz" 30997 30714 30349 30349 23554 "80"
"215" "DRR070531.fastq.gz" 31273 30940 30482 30482 26195 "80"
"216" "DRR070552.fastq.gz" 68057 65763 65160 65160 52427 "80"
"217" "DRR070553.fastq.gz" 33466 33253 32867 32867 28426 "80"
"218" "DRR070554.fastq.gz" 31718 31447 31081 31081 25936 "80"
"219" "DRR070555.fastq.gz" 34193 33887 33415 33415 28722 "80"
"220" "DRR070556.fastq.gz" 35693 35403 34937 34937 30103 "80"
"221" "DRR070577.fastq.gz" 43681 43394 43123 43123 38699 "80"
"222" "DRR070578.fastq.gz" 44605 44303 44041 44041 38765 "80"
"223" "DRR070579.fastq.gz" 31237 31049 30786 30786 28152 "80"
"224" "DRR070580.fastq.gz" 74736 72907 72453 72453 65136 "80"
"225" "DRR070581.fastq.gz" 73470 71593 71163 71163 64148 "80"
"226" "DRR070527.fastq.gz" 70166 67626 66863 66863 58893 "90"
"227" "DRR070528.fastq.gz" 73058 70688 69944 69944 60602 "90"
"228" "DRR070529.fastq.gz" 34232 33954 33483 33483 30174 "90"
"229" "DRR070530.fastq.gz" 30997 30684 30214 30214 26804 "90"
"230" "DRR070531.fastq.gz" 31273 30914 30336 30336 28260 "90"
"231" "DRR070552.fastq.gz" 68057 65591 64738 64738 57285 "90"
"232" "DRR070553.fastq.gz" 33466 33210 32754 32754 30550 "90"
"233" "DRR070554.fastq.gz" 31718 31415 30821 30821 28044 "90"
"234" "DRR070555.fastq.gz" 34193 33854 33278 33278 31097 "90"
"235" "DRR070556.fastq.gz" 35693 35356 34887 34887 31574 "90"
"236" "DRR070577.fastq.gz" 43681 43346 42939 42939 40436 "90"
"237" "DRR070578.fastq.gz" 44605 44251 43839 43839 41070 "90"
"238" "DRR070579.fastq.gz" 31237 31014 30702 30702 29462 "90"
"239" "DRR070580.fastq.gz" 74736 72745 72240 72240 68054 "90"
"240" "DRR070581.fastq.gz" 73470 71278 70769 70769 66950 "90"
